area_id,feature,fq
POI001,beauty,241
POI001,drama,18
POI001,food,25
POI001,movie,14
POI003,beauty,102
POI003,food,48
POI003,movie,1
POI006,drama,30
POI006,movie,17
POI007,beauty,13
POI007,drama,6
POI007,food,10
POI007,movie,1
POI008,beauty,2
POI008,food,2
POI012,beauty,1
POI012,drama,1
POI012,food,1
POI015,movie,1
POI030,beauty,1
POI037,drama,1
POI039,beauty,6
POI039,drama,6
POI039,food,4
POI040,beauty,1
POI040,food,4
POI040,movie,4
POI054,food,3
POI054,movie,3
POI059,food,1
POI060,beauty,4
POI060,food,8
POI064,movie,8
POI066,beauty,4
POI066,drama,2
POI066,movie,3
POI068,beauty,38
POI068,food,7
POI071,beauty,5
POI071,food,2
POI071,movie,1
POI072,food,3
POI077,drama,1
POI077,movie,9
POI078,food,4
POI081,beauty,1
POI083,beauty,29
POI083,drama,16
POI083,food,6
POI088,beauty,5
POI088,drama,6
POI088,food,13
POI088,movie,2
POI089,drama,1
POI089,movie,3
POI091,beauty,3
POI091,drama,2
POI091,food,9
POI091,movie,15
POI095,food,1
POI099,beauty,1
POI099,drama,1
POI099,movie,2
POI105,movie,2
POI106,food,10
POI113,beauty,1
POI113,drama,42
POI113,food,3
POI115,beauty,2
POI115,food,6
POI116,food,1
POI127,beauty,1